arr_size;at1;at2;at3;at4;at5;at6;at7;at8;at9;at10;at11;at12;at13;at14;at15;at16;at17;at18;at19;at20;at21;at22;at23;at24;at25;at26;at27;at28;at29;at30;at31;at32;at33;at34;at35;at36;at37;at38;at39;at40;at41;at42;at43;at44;at45;at46;at47;at48;at49;at50;at51;at52;at53;at54;at55;at56;at57;at58;at59;at60;at61;at62;at63;at64;at65;at66;at67;at68;at69;at70;at71;at72;at73;at74;at75;at76;at77;at78;at79;at80;at81;at82;at83;at84;at85;at86;at87;at88;at89;at90;at91;at92;at93;at94;at95;at96;at97;at98;at99;at100;at101;at102;at103;at104;at105;at106;at107;at108;at109;at110;at111;at112;at113;at114;at115;at116;at117;at118;at119;at120;at121;at122;at123;at124;at125;at126;at127;at128;at129;at130;at131;at132;at133;at134;at135;at136;at137;at138;at139;at140;at141;at142;at143;at144;at145;at146;at147;at148;at149;at150;at151;at152;at153;at154;at155;at156;at157;at158;at159;at160;at161;at162;at163;at164;at165;at166;at167;at168;at169;at170;at171;at172;at173;at174;at175;at176;at177;at178;at179;at180;at181;at182;at183;at184;at185;at186;at187;at188;at189;at190;at191;at192;at193;at194;at195;at196;at197;at198;at199;at200;schedule_type;OMP_SCHEDULE;chunk_size;chunk_size_div
100000;0.001286;0.001289;0.001264;0.001295;0.001285;0.001287;0.001301;0.001287;0.001307;0.001284;0.001290;0.001269;0.001297;0.001290;0.001265;0.001308;0.001285;0.001311;0.001269;0.001293;0.001277;0.001306;0.001275;0.001293;0.001313;0.001315;0.001278;0.001449;0.001277;0.001269;0.001278;0.001296;0.001270;0.001277;0.001285;0.001274;0.001276;0.001276;0.001279;0.001279;0.001292;0.001311;0.001278;0.001299;0.001276;0.001273;0.001272;0.001271;0.001277;0.001266;0.001315;0.001281;0.001301;0.001282;0.001296;0.001284;0.001302;0.001263;0.001297;0.001283;0.001276;0.001310;0.001292;0.001284;0.001273;0.001309;0.001285;0.001277;0.001281;0.001285;0.001273;0.001278;0.001307;0.001274;0.001286;0.001353;0.001290;0.001303;0.001296;0.001278;0.001316;0.001299;0.001303;0.001287;0.001291;0.001269;0.001302;0.001277;0.001314;0.001275;0.001302;0.001293;0.001270;0.001292;0.001299;0.001280;0.001270;0.001268;0.001283;0.001271;0.001287;0.001286;0.001288;0.001301;0.001305;0.001295;0.001299;0.001271;0.001327;0.001303;0.001285;0.001316;0.001283;0.001288;0.001273;0.001269;0.001312;0.001275;0.001276;0.001293;0.001337;0.001300;0.001310;0.001304;0.001276;0.001298;0.001280;0.001305;0.001266;0.001309;0.001286;0.001267;0.001265;0.001268;0.001589;0.001295;0.001268;0.001290;0.001288;0.001292;0.001272;0.001301;0.001278;0.001278;0.001598;0.001305;0.001277;0.001281;0.001276;0.001277;0.001285;0.001283;0.001302;0.001274;0.001300;0.001486;0.001409;0.001278;0.001279;0.001282;0.001289;0.001276;0.001305;0.001290;0.001287;0.001297;0.001281;0.001293;0.001287;0.001288;0.001279;0.001279;0.001294;0.001269;0.001287;0.001272;0.001290;0.001266;0.001300;0.001312;0.001302;0.001265;0.001268;0.001315;0.001288;0.001288;0.001270;0.001267;0.001289;0.001266;0.001286;0.001295;0.001273;0.001524;0.001278;0.001289;0.001294;0.001297;0.001291;0.001295;seq;seq;0;0
100000;0.000485;0.000464;0.000466;0.000477;0.000468;0.000456;0.000463;0.000482;0.000490;0.000469;0.000459;0.000469;0.000484;0.000472;0.000453;0.000457;0.000471;0.000474;0.005917;0.005857;0.005879;0.005878;0.000483;0.000479;0.000492;0.000460;0.000461;0.004598;0.001370;0.002709;0.000478;0.000485;0.000474;0.000469;0.000476;0.000470;0.000470;0.000464;0.000459;0.000464;0.000467;0.000482;0.000474;0.000462;0.000460;0.000478;0.000468;0.000475;0.000463;0.000465;0.000470;0.000489;0.000471;0.000487;0.000475;0.000482;0.007447;0.000460;0.000492;0.000479;0.000456;0.000462;0.000466;0.000481;0.000472;0.000479;0.000476;0.000461;0.000463;0.000470;0.000474;0.000453;0.000454;0.000461;0.000482;0.000454;0.000469;0.000461;0.000458;0.000456;0.000474;0.000469;0.000459;0.000457;0.000471;0.000456;0.000454;0.000473;0.000490;0.000465;0.000461;0.002032;0.007818;0.005845;0.007439;0.005754;0.007413;0.007425;0.005948;0.007467;0.005777;0.005782;0.005784;0.008768;0.007511;0.001396;0.000468;0.000483;0.000488;0.000486;0.000482;0.000472;0.000469;0.000462;0.000461;0.000459;0.000462;0.000474;0.000483;0.000459;0.000458;0.000462;0.000470;0.000467;0.000479;0.000470;0.000480;0.000453;0.000460;0.000462;0.000468;0.000477;0.000460;0.000479;0.000457;0.000460;0.000477;0.000476;0.000470;0.000456;0.000461;0.000479;0.000494;0.000466;0.000456;0.000459;0.000468;0.000474;0.000461;0.000467;0.000472;0.000467;0.000458;0.000459;0.000462;0.000489;0.000468;0.000461;0.000461;0.000470;0.000501;0.000479;0.000494;0.000458;0.000471;0.000468;0.000456;0.000455;0.000465;0.000473;0.000460;0.000462;0.000483;0.000474;0.000460;0.000455;0.000456;0.001484;0.000468;0.000455;0.000456;0.000471;0.000471;0.000454;0.000455;0.000479;0.000462;0.000454;0.000481;0.000468;0.004033;0.000470;0.002921;0.000490;0.004995;0.005772;0.005862;0.007086;0.005774;0.000461;auto;auto;0;0
100000;0.001130;0.001097;0.001088;0.001085;0.001103;0.001095;0.001089;0.001094;0.001098;0.001099;0.001103;0.001104;0.001090;0.001105;0.001091;0.001089;0.001092;0.001084;0.001106;0.001130;0.001109;0.001079;0.001088;0.001089;0.001084;0.001079;0.001076;0.001079;0.001079;0.001108;0.001084;0.001077;0.001080;0.001079;0.001080;0.001084;0.003792;0.001083;0.001097;0.001076;0.001082;0.001076;0.001081;0.001086;0.001109;0.001098;0.001106;0.001084;0.001084;0.001092;0.001080;0.001079;0.001100;0.001098;0.001109;0.001099;0.001095;0.001118;0.001098;0.001103;0.001100;0.001091;0.001091;0.001103;0.001104;0.001093;0.001113;0.001108;0.001096;0.001112;0.006866;0.001081;0.001090;0.001083;0.001176;0.001083;0.001097;0.001094;0.002183;0.001095;0.001085;0.001093;0.001089;0.001099;0.001089;0.001105;0.001119;0.001085;0.001098;0.001091;0.001098;0.001096;0.001084;0.001083;0.001075;0.001083;0.001081;0.001097;0.001083;0.001105;0.001075;0.001103;0.001085;0.001078;0.001094;0.001086;0.001079;0.001080;0.001093;0.001101;0.001078;0.001082;0.001081;0.001087;0.001083;0.001091;0.001081;0.001073;0.008393;0.001088;0.001080;0.001096;0.001098;0.001097;0.001094;0.001099;0.001089;0.001084;0.001075;0.001076;0.001076;0.001115;0.001090;0.001081;0.001094;0.001095;0.001088;0.001099;0.001085;0.001081;0.001085;0.001098;0.001084;0.001076;0.001081;0.001078;0.001125;0.001088;0.001083;0.001095;0.001081;0.001091;0.001158;0.001079;0.001078;0.001077;0.001085;0.001089;0.001088;0.001080;0.001088;0.001073;0.001087;0.001090;0.001103;0.001079;0.001095;0.001099;0.001094;0.001096;0.001086;0.001097;0.007407;0.001089;0.001083;0.001080;0.001081;0.001079;0.001084;0.001082;0.001081;0.001084;0.001077;0.001079;0.001093;0.001089;0.001082;0.001094;0.001086;0.001085;0.001077;0.001080;0.001083;0.001093;0.001092;0.001078;0.001088;0.001091;0.001080;0.001085;static;static,1;1;0
100000;0.004654;0.004636;0.005011;0.004819;0.004653;0.004860;0.004885;0.004664;0.004647;0.004817;0.005035;0.004840;0.004664;0.004669;0.004641;0.004884;0.004434;0.004881;0.004875;0.004819;0.004808;0.004998;0.004652;0.004659;0.004876;0.004869;0.004829;0.004894;0.004817;0.004826;0.005011;0.004667;0.004884;0.004863;0.004833;0.005006;0.004845;0.004803;0.004867;0.004672;0.004827;0.004891;0.004820;0.004823;0.004668;0.004836;0.004865;0.004418;0.004879;0.004662;0.004832;0.005033;0.004842;0.004816;0.004853;0.004879;0.004819;0.004679;0.004677;0.004661;0.004813;0.004414;0.004876;0.004820;0.004810;0.004821;0.004646;0.004836;0.004818;0.004825;0.004810;0.004424;0.004995;0.004820;0.004437;0.004883;0.004872;0.004820;0.004835;0.004827;0.004817;0.004883;0.004883;0.004819;0.004809;0.006561;0.004850;0.004859;0.004855;0.004822;0.004821;0.004424;0.004877;0.004433;0.004886;0.004807;0.004813;0.004899;0.004816;0.004806;0.004413;0.004816;0.005004;0.004828;0.004813;0.004817;0.004898;0.004821;0.004661;0.005097;0.007866;0.005007;0.004815;0.004818;0.005016;0.004895;0.004819;0.004817;0.004813;0.004892;0.004427;0.005003;0.004835;0.004860;0.004820;0.005006;0.004426;0.004644;0.004987;0.004880;0.004865;0.005015;0.004425;0.004433;0.004831;0.004880;0.004899;0.006932;0.004434;0.004886;0.004655;0.004824;0.005006;0.004669;0.004648;0.004433;0.004667;0.004869;0.004809;0.004647;0.005021;0.004888;0.004884;0.004658;0.004873;0.004843;0.004881;0.004818;0.004838;0.004813;0.004828;0.004992;0.004844;0.005037;0.004815;0.004809;0.004418;0.004659;0.004878;0.005015;0.004664;0.004880;0.004875;0.005036;0.004880;0.004887;0.004821;0.004863;0.004800;0.004881;0.004880;0.004434;0.004888;0.004678;0.005002;0.004862;0.004868;0.004944;0.005022;0.004902;0.004876;0.004807;0.004809;0.004996;0.004808;0.005006;0.004860;0.004834;0.004798;0.005003;dynamic;dynamic,1;1;0
100000;0.000462;0.000459;0.000460;0.000459;0.000462;0.000468;0.000487;0.000469;0.000471;0.000489;0.000471;0.000481;0.000479;0.000477;0.000686;0.000475;0.000487;0.000472;0.000476;0.000484;0.000459;0.000461;0.000462;0.000467;0.000466;0.000462;0.000464;0.000464;0.000462;0.000459;0.000478;0.000516;0.000472;0.000473;0.000475;0.000475;0.000478;0.000468;0.000474;0.000474;0.000476;0.000454;0.000458;0.000455;0.002686;0.005552;0.007255;0.005599;0.005580;0.005370;0.000472;0.000460;0.000463;0.000463;0.000492;0.000463;0.000479;0.000460;0.000462;0.000461;0.000460;0.000459;0.000460;0.000459;0.000469;0.000479;0.000476;0.000477;0.000481;0.000470;0.000464;0.000459;0.000463;0.000459;0.000459;0.000462;0.000482;0.000475;0.000472;0.000471;0.000477;0.000458;0.000461;0.000460;0.000455;0.000461;0.000459;0.000460;0.000464;0.000461;0.000460;0.000476;0.000469;0.000480;0.000486;0.000475;0.000486;0.000502;0.000482;0.000476;0.000512;0.000465;0.000473;0.000471;0.000462;0.000457;0.000489;0.000458;0.000472;0.000459;0.000456;0.000461;0.000525;0.000461;0.000461;0.000465;0.000502;0.000463;0.000463;0.000471;0.000474;0.000471;0.000472;0.000472;0.005535;0.000484;0.000467;0.000472;0.000928;0.000483;0.000492;0.000482;0.000473;0.000507;0.000480;0.000479;0.000470;0.000479;0.000475;0.000484;0.000468;0.000466;0.000462;0.000462;0.000460;0.000469;0.000473;0.000461;0.000460;0.000464;0.000475;0.000473;0.000491;0.000471;0.000493;0.000466;0.000461;0.000457;0.000460;0.000457;0.000464;0.000474;0.000478;0.000470;0.000464;0.000463;0.000472;0.000476;0.000476;0.000506;0.000474;0.000476;0.000462;0.000466;0.000479;0.000499;0.000459;0.000477;0.000478;0.000476;0.000475;0.000472;0.000475;0.000458;0.000459;0.000461;0.000458;0.000461;0.000466;0.000468;0.000463;0.000464;0.000460;0.000472;0.000484;0.000474;0.000477;0.000475;0.000902;0.000472;guided;guided,1;1;0
100000;0.000465;0.000490;0.000456;0.000459;0.000472;0.000468;0.000466;0.000463;0.000473;0.000468;0.000489;0.000473;0.000476;0.000461;0.000457;0.000471;0.000460;0.000493;0.000471;0.000478;0.000479;0.000479;0.000482;0.000457;0.000467;0.000462;0.000467;0.000480;0.000472;0.000465;0.000457;0.000462;0.000454;0.000473;0.000471;0.000661;0.000490;0.000471;0.000455;0.000486;0.000455;0.000478;0.000472;0.000468;0.000462;0.000459;0.000457;0.000476;0.005781;0.004447;0.000470;0.000469;0.000467;0.000460;0.000455;0.000474;0.000468;0.000455;0.000455;0.000460;0.000461;0.000469;0.000471;0.000470;0.000490;0.000456;0.000456;0.000461;0.000495;0.000475;0.000467;0.000490;0.000463;0.000660;0.000466;0.000462;0.000460;0.000468;0.000460;0.000459;0.000463;0.000472;0.000480;0.000451;0.000453;0.000468;0.000465;0.000464;0.000473;0.000467;0.000465;0.000457;0.000461;0.000461;0.000468;0.000472;0.000470;0.000473;0.000451;0.000459;0.000476;0.000468;0.000458;0.000465;0.000462;0.000470;0.000461;0.000476;0.000456;0.000464;0.000467;0.000485;0.000487;0.000478;0.000468;0.000487;0.000467;0.000890;0.000471;0.000528;0.000474;0.000484;0.000482;0.000484;0.000479;0.000474;0.000457;0.000466;0.000468;0.000461;0.000456;0.000462;0.000463;0.000456;0.000474;0.000459;0.000477;0.000460;0.000475;0.000472;0.000466;0.000459;0.000469;0.000464;0.000468;0.000485;0.000455;0.000457;0.000466;0.000461;0.000475;0.000468;0.000462;0.000461;0.000454;0.000465;0.000477;0.000458;0.000477;0.000466;0.000456;0.000461;0.000496;0.000476;0.000468;0.000458;0.000455;0.000468;0.005763;0.005880;0.005829;0.003770;0.005752;0.000499;0.000481;0.000480;0.000473;0.000471;0.000461;0.000461;0.000470;0.000467;0.000458;0.000480;0.000469;0.000472;0.000465;0.000460;0.000460;0.000471;0.000469;0.000478;0.000476;0.000467;0.000472;0.000457;0.000462;0.000463;0.000455;0.000496;static;static,25000;25000;4
100000;0.000478;0.000492;0.000480;0.000455;0.000458;0.000472;0.000474;0.000462;0.000458;0.000458;0.000486;0.000479;0.000489;0.000462;0.000460;0.000458;0.000468;0.000479;0.000457;0.005734;0.000466;0.000465;0.000458;0.000473;0.000468;0.000476;0.000466;0.000461;0.000457;0.000474;0.000472;0.000468;0.000460;0.000478;0.000475;0.000461;0.000471;0.000458;0.000471;0.000459;0.000462;0.000473;0.000493;0.000459;0.000456;0.000484;0.000468;0.000472;0.000467;0.000466;0.000473;0.000468;0.000469;0.000464;0.000453;0.000487;0.000472;0.000455;0.000461;0.000458;0.000473;0.000467;0.000460;0.000456;0.000477;0.000485;0.000469;0.000454;0.000458;0.000487;0.000931;0.000488;0.000473;0.000489;0.000479;0.000478;0.000459;0.000483;0.000475;0.000462;0.000456;0.000459;0.000478;0.000470;0.000463;0.000462;0.000475;0.000486;0.000458;0.000457;0.000464;0.000465;0.000466;0.000828;0.000465;0.000458;0.000463;0.000460;0.000605;0.000467;0.000461;0.000461;0.000473;0.000477;0.000474;0.000476;0.000457;0.000459;0.000457;0.000457;0.000463;0.000462;0.000465;0.000462;0.000462;0.000484;0.000473;0.000479;0.000483;0.000497;0.000457;0.000460;0.000459;0.000463;0.000465;0.000479;0.000483;0.000484;0.000458;0.000464;0.000459;0.000460;0.000462;0.000500;0.000476;0.000477;0.000470;0.000475;0.000470;0.000459;0.000469;0.000460;0.000464;0.000466;0.000461;0.000463;0.000471;0.000475;0.000457;0.000460;0.000477;0.000528;0.000464;0.000462;0.000463;0.000476;0.000474;0.000487;0.000459;0.000458;0.000467;0.000486;0.000472;0.000473;0.000459;0.000483;0.000460;0.000458;0.000470;0.000487;0.000494;0.000458;0.000477;0.000501;0.006336;0.000471;0.000492;0.000485;0.000493;0.000461;0.000461;0.000466;0.000469;0.000463;0.000894;0.003739;0.000469;0.000459;0.000461;0.000482;0.000473;0.000499;0.000479;0.000478;0.000464;0.000475;0.000459;0.000472;0.000475;0.000474;static;static,8333;8333;12
100000;0.000468;0.000468;0.000471;0.000466;0.000479;0.000468;0.000497;0.000470;0.000464;0.000463;0.000462;0.000469;0.000465;0.000465;0.000464;0.000461;0.000466;0.000470;0.000464;0.000465;0.000470;0.000467;0.000466;0.000470;0.000465;0.000468;0.000464;0.000460;0.000468;0.000463;0.000463;0.000470;0.000465;0.000470;0.000467;0.000469;0.000478;0.000463;0.000461;0.000996;0.000468;0.000468;0.000477;0.000480;0.000477;0.000478;0.000480;0.000468;0.000486;0.000471;0.000491;0.000472;0.000481;0.000479;0.000482;0.000477;0.000470;0.000460;0.000476;0.000462;0.000465;0.000478;0.000479;0.000479;0.000466;0.000466;0.000474;0.000470;0.000520;0.000472;0.000463;0.000461;0.000466;0.000472;0.000480;0.000477;0.000473;0.000479;0.000476;0.000476;0.000471;0.000478;0.000476;0.000480;0.000486;0.000476;0.000478;0.000480;0.000480;0.000499;0.000476;0.000463;0.000461;0.000455;0.000465;0.000500;0.000463;0.000463;0.000468;0.000479;0.000483;0.000474;0.000466;0.000468;0.000462;0.000498;0.000506;0.000478;0.000476;0.000475;0.000464;0.000459;0.000477;0.000476;0.000472;0.000463;0.000459;0.000460;0.000469;0.000465;0.007414;0.000466;0.000465;0.000463;0.000460;0.000483;0.000482;0.000464;0.000472;0.000460;0.000465;0.000472;0.000484;0.000464;0.000464;0.000462;0.000534;0.000464;0.000480;0.000491;0.000495;0.000461;0.000464;0.000458;0.000483;0.000471;0.000478;0.000464;0.000458;0.000469;0.000480;0.000504;0.000477;0.000466;0.000459;0.000463;0.000475;0.000483;0.000470;0.000460;0.000460;0.000464;0.000472;0.000474;0.000477;0.000461;0.000465;0.000494;0.000485;0.000475;0.000462;0.000462;0.000477;0.000475;0.000467;0.000489;0.000464;0.000491;0.000463;0.000459;0.000482;0.000475;0.000497;0.000475;0.000465;0.000461;0.000464;0.000505;0.000490;0.000462;0.000460;0.000461;0.000466;0.000459;0.000481;0.000476;0.000481;0.000463;0.000458;0.000459;static;static,5000;5000;20
100000;0.000474;0.000457;0.000460;0.000458;0.000460;0.000458;0.000458;0.000458;0.000453;0.000458;0.000452;0.000490;0.000470;0.000481;0.000496;0.000475;0.000468;0.000469;0.000482;0.000474;0.000693;0.000470;0.000475;0.000473;0.000484;0.000476;0.000472;0.000478;0.000473;0.000472;0.000471;0.000476;0.000460;0.000472;0.000460;0.000471;0.000473;0.000459;0.000475;0.000467;0.000489;0.000473;0.000480;0.000471;0.000481;0.000468;0.000474;0.000464;0.000473;0.000470;0.000472;0.000465;0.000461;0.000474;0.000473;0.000471;0.000479;0.000478;0.000468;0.000472;0.000474;0.000471;0.000477;0.000467;0.000659;0.000477;0.000470;0.000471;0.000469;0.000487;0.000487;0.000480;0.000492;0.000471;0.000469;0.000478;0.000483;0.000482;0.000466;0.000459;0.000461;0.000460;0.000463;0.000458;0.000461;0.000462;0.000474;0.000465;0.000464;0.000475;0.000474;0.000470;0.000478;0.000466;0.000484;0.000471;0.000467;0.000475;0.000470;0.000665;0.000467;0.000462;0.000472;0.000456;0.000468;0.000465;0.000473;0.000479;0.000469;0.000472;0.000457;0.000463;0.000459;0.000457;0.000455;0.000475;0.000484;0.000487;0.000484;0.000457;0.000453;0.000475;0.000461;0.000466;0.000464;0.000479;0.000471;0.000483;0.000468;0.000473;0.000458;0.000456;0.000460;0.000469;0.000459;0.000490;0.000481;0.000470;0.000475;0.000479;0.000472;0.000479;0.000473;0.000460;0.000458;0.000458;0.000456;0.000454;0.000460;0.000471;0.000481;0.000476;0.000476;0.000499;0.000478;0.000473;0.000456;0.000460;0.007256;0.005552;0.005553;0.004570;0.000474;0.000479;0.000462;0.000462;0.000481;0.000460;0.000454;0.000480;0.000478;0.000470;0.000472;0.000501;0.000473;0.000491;0.000473;0.000463;0.000483;0.000466;0.000467;0.000462;0.000462;0.000461;0.000459;0.000459;0.000455;0.000458;0.000462;0.000478;0.000465;0.000466;0.000458;0.000457;0.000460;0.000458;0.000460;0.000457;0.000461;0.000656;dynamic;dynamic,25000;25000;4
100000;0.000482;0.000481;0.000484;0.000474;0.000469;0.000472;0.000499;0.000471;0.000477;0.000463;0.000459;0.007229;0.000851;0.000464;0.000469;0.000480;0.000460;0.000481;0.000486;0.000481;0.000473;0.000486;0.000473;0.000482;0.000476;0.000479;0.000479;0.000476;0.000481;0.000482;0.000475;0.000480;0.000476;0.000484;0.000487;0.000477;0.000464;0.000457;0.000461;0.000463;0.000467;0.000467;0.000464;0.000471;0.000476;0.000476;0.000478;0.000471;0.000478;0.000486;0.000479;0.000475;0.000468;0.000476;0.000477;0.000474;0.000474;0.000464;0.000459;0.000483;0.000461;0.000479;0.000474;0.000473;0.000473;0.000493;0.000492;0.000459;0.000465;0.000456;0.000482;0.000481;0.000474;0.000478;0.000471;0.000476;0.000483;0.000457;0.000461;0.000464;0.000459;0.000482;0.000482;0.000483;0.000472;0.000484;0.000488;0.000467;0.000469;0.000467;0.000468;0.000459;0.000460;0.000469;0.000494;0.000474;0.000476;0.000474;0.000473;0.000923;0.000465;0.000458;0.000458;0.000464;0.000464;0.000463;0.000465;0.000468;0.000472;0.000475;0.000473;0.000477;0.000470;0.000476;0.000478;0.000478;0.000467;0.000460;0.000465;0.000465;0.000493;0.000477;0.000471;0.000475;0.000472;0.000460;0.000460;0.000460;0.000462;0.000457;0.000459;0.000468;0.000478;0.000479;0.000471;0.000478;0.000479;0.000476;0.000489;0.000483;0.000472;0.000464;0.000468;0.000471;0.000472;0.000489;0.000472;0.000469;0.000476;0.000454;0.000461;0.000460;0.000459;0.000477;0.000476;0.000484;0.000476;0.000472;0.000475;0.000476;0.000483;0.000476;0.000479;0.000472;0.000472;0.000465;0.000460;0.000470;0.000480;0.000471;0.000474;0.000457;0.000467;0.000472;0.000483;0.000484;0.000465;0.000456;0.000461;0.000460;0.000457;0.000460;0.000464;0.000465;0.000473;0.000470;0.000479;0.000484;0.000479;0.000465;0.000467;0.000468;0.000459;0.000465;0.000492;0.000477;0.000484;0.000488;0.000472;0.000468;dynamic;dynamic,8333;8333;12
