arr_size;at1;at2;at3;at4;at5;at6;at7;at8;at9;at10;at11;at12;at13;at14;at15;at16;at17;at18;at19;at20;at21;at22;at23;at24;at25;at26;at27;at28;at29;at30;at31;at32;at33;at34;at35;at36;at37;at38;at39;at40;at41;at42;at43;at44;at45;at46;at47;at48;at49;at50;at51;at52;at53;at54;at55;at56;at57;at58;at59;at60;at61;at62;at63;at64;at65;at66;at67;at68;at69;at70;at71;at72;at73;at74;at75;at76;at77;at78;at79;at80;at81;at82;at83;at84;at85;at86;at87;at88;at89;at90;at91;at92;at93;at94;at95;at96;at97;at98;at99;at100;at101;at102;at103;at104;at105;at106;at107;at108;at109;at110;at111;at112;at113;at114;at115;at116;at117;at118;at119;at120;at121;at122;at123;at124;at125;at126;at127;at128;at129;at130;at131;at132;at133;at134;at135;at136;at137;at138;at139;at140;at141;at142;at143;at144;at145;at146;at147;at148;at149;at150;at151;at152;at153;at154;at155;at156;at157;at158;at159;at160;at161;at162;at163;at164;at165;at166;at167;at168;at169;at170;at171;at172;at173;at174;at175;at176;at177;at178;at179;at180;at181;at182;at183;at184;at185;at186;at187;at188;at189;at190;at191;at192;at193;at194;at195;at196;at197;at198;at199;at200;schedule_type;OMP_SCHEDULE;chunk_size;chunk_size_div
100000;0.001313;0.001296;0.001316;0.001305;0.001283;0.001288;0.001276;0.001265;0.001332;0.001314;0.001298;0.001266;0.001265;0.001289;0.001302;0.001280;0.001276;0.001278;0.001277;0.001286;0.001275;0.001276;0.001296;0.001282;0.001273;0.001279;0.001285;0.001301;0.001277;0.001294;0.001282;0.001270;0.001281;0.001303;0.001308;0.001305;0.001292;0.001295;0.001295;0.001293;0.001301;0.001288;0.001282;0.001274;0.001297;0.001277;0.001321;0.001298;0.001271;0.001283;0.001294;0.001286;0.001298;0.001290;0.001359;0.001278;0.001280;0.001278;0.001268;0.001289;0.001274;0.001274;0.001275;0.001289;0.001305;0.001335;0.001274;0.001284;0.001284;0.001276;0.001284;0.001292;0.001289;0.001275;0.001280;0.001326;0.001281;0.001276;0.001279;0.001311;0.001307;0.001283;0.001267;0.001269;0.001286;0.001289;0.001343;0.001275;0.001277;0.001268;0.001289;0.001334;0.001282;0.001312;0.001292;0.001325;0.001306;0.001314;0.001315;0.001318;0.001662;0.001304;0.001299;0.001279;0.001286;0.001288;0.001318;0.001277;0.001276;0.001282;0.001287;0.001300;0.001295;0.001286;0.001285;0.001286;0.001288;0.001295;0.001288;0.001305;0.001280;0.001271;0.001300;0.001332;0.001291;0.001290;0.001292;0.001300;0.001279;0.001281;0.001278;0.001271;0.001267;0.001299;0.001296;0.001280;0.001295;0.001282;0.001294;0.001300;0.001276;0.001276;0.001291;0.001300;0.001506;0.001280;0.001274;0.001275;0.001279;0.001285;0.001304;0.001285;0.001294;0.001289;0.001277;0.001281;0.001283;0.001295;0.001314;0.001306;0.001299;0.001310;0.001302;0.001281;0.001275;0.001288;0.001286;0.001268;0.001277;0.001288;0.001282;0.001276;0.001280;0.001286;0.001288;0.001292;0.001273;0.001280;0.001288;0.001275;0.001281;0.001268;0.001295;0.001283;0.001308;0.001278;0.001274;0.001267;0.001273;0.001320;0.001290;0.001273;0.001275;0.001347;0.001292;0.001289;0.001266;0.001282;0.001299;0.001523;seq;seq;0;0
100000;0.000479;0.000473;0.000472;0.000475;0.000473;0.000467;0.000469;0.000487;0.005868;0.000566;0.000471;0.000471;0.000464;0.000476;0.000463;0.000466;0.000466;0.000476;0.000489;0.000508;0.000491;0.000483;0.000485;0.000488;0.000476;0.000489;0.000522;0.000483;0.000487;0.000480;0.000487;0.000479;0.000477;0.000490;0.000946;0.000472;0.000471;0.000466;0.000466;0.000501;0.000482;0.000493;0.000486;0.000516;0.000481;0.000490;0.000480;0.000506;0.000484;0.001461;0.000477;0.000487;0.000470;0.000469;0.000467;0.000465;0.000466;0.000467;0.000466;0.000470;0.000483;0.000488;0.000482;0.000481;0.000496;0.000483;0.000484;0.000486;0.000484;0.000486;0.000476;0.000476;0.000483;0.000487;0.000507;0.000484;0.000481;0.000487;0.000482;0.000486;0.005827;0.000477;0.000485;0.000472;0.000482;0.000474;0.000481;0.000486;0.000477;0.000475;0.000493;0.000471;0.000474;0.000473;0.000486;0.000479;0.000492;0.000485;0.000683;0.000478;0.000476;0.000467;0.000466;0.000473;0.000470;0.000469;0.000474;0.000488;0.000469;0.000465;0.000474;0.000464;0.000466;0.000468;0.000468;0.000468;0.000463;0.000483;0.000482;0.000481;0.000488;0.000481;0.000474;0.000483;0.000495;0.000477;0.000479;0.000494;0.000480;0.000490;0.000510;0.000487;0.000461;0.000468;0.000467;0.000467;0.000467;0.000464;0.000471;0.000484;0.000471;0.000484;0.000474;0.000483;0.000508;0.000480;0.000497;0.000481;0.000499;0.000468;0.000484;0.000467;0.000468;0.000468;0.000479;0.000469;0.000494;0.000479;0.000485;0.000479;0.000478;0.000534;0.000491;0.000484;0.000480;0.000481;0.000506;0.000471;0.000482;0.000485;0.000476;0.000463;0.000465;0.000460;0.000490;0.000467;0.000477;0.000467;0.000467;0.000495;0.000481;0.000485;0.000466;0.000467;0.000463;0.000477;0.000476;0.000466;0.000470;0.000465;0.000465;0.000487;0.000482;0.000480;0.000498;0.000477;0.000477;0.000483;0.000499;0.000481;auto;auto;0;0
100000;0.001095;0.001092;0.001107;0.001088;0.001090;0.001104;0.001096;0.001092;0.001087;0.001091;0.001110;0.001115;0.001095;0.001083;0.001122;0.001095;0.001132;0.001109;0.001137;0.001110;0.001087;0.001095;0.001090;0.001080;0.001093;0.001106;0.001096;0.001109;0.001122;0.001085;0.001104;0.001116;0.001091;0.001095;0.001097;0.001092;0.001090;0.001090;0.001104;0.001101;0.001096;0.001086;0.001105;0.001099;0.001090;0.001086;0.001119;0.001112;0.001093;0.001106;0.001097;0.001095;0.001106;0.001101;0.001088;0.001100;0.001086;0.001095;0.001102;0.001085;0.001093;0.001106;0.001094;0.001090;0.001103;0.001110;0.001093;0.001132;0.001096;0.001092;0.001090;0.001115;0.001096;0.001080;0.001094;0.001112;0.001092;0.001099;0.001114;0.001102;0.001118;0.001098;0.001124;0.001087;0.001091;0.001106;0.001103;0.001097;0.001094;0.001093;0.001091;0.001091;0.001108;0.001110;0.001101;0.001095;0.001095;0.001086;0.001102;0.001094;0.001112;0.001104;0.001109;0.001107;0.001086;0.001095;0.001086;0.001108;0.001124;0.001113;0.001087;0.001092;0.001092;0.001094;0.001123;0.001099;0.001087;0.001093;0.001091;0.001084;0.001103;0.001109;0.001089;0.001113;0.001108;0.001104;0.001086;0.001082;0.001127;0.001100;0.001099;0.001099;0.001090;0.001092;0.001095;0.001096;0.002087;0.001105;0.001089;0.001102;0.001100;0.001092;0.001097;0.001089;0.001095;0.001094;0.001102;0.001091;0.001094;0.001098;0.001106;0.001089;0.001092;0.001103;0.001095;0.001091;0.001119;0.001095;0.001102;0.001101;0.001110;0.001093;0.001095;0.001087;0.001092;0.001097;0.001089;0.001100;0.001111;0.001722;0.001106;0.001134;0.001110;0.001194;0.001108;0.001096;0.001089;0.001089;0.001098;0.001099;0.001106;0.001103;0.001091;0.001087;0.001097;0.001104;0.001118;0.001094;0.001119;0.001100;0.001104;0.001092;0.001092;0.001090;0.001122;0.001110;0.001117;0.001098;0.001091;0.001098;static;static,1;1;0
100000;0.004828;0.004667;0.004827;0.004885;0.004465;0.004879;0.004690;0.004665;0.004435;0.005042;0.005000;0.004682;0.004840;0.005014;0.004676;0.004907;0.004428;0.004669;0.004689;0.004841;0.004829;0.004896;0.004683;0.004844;0.004831;0.005023;0.005006;0.004891;0.004841;0.004834;0.004892;0.005029;0.004878;0.004813;0.004840;0.004668;0.004682;0.004838;0.004834;0.004904;0.004841;0.004881;0.004885;0.004810;0.004826;0.004805;0.004836;0.004852;0.004831;0.004882;0.004678;0.004426;0.004898;0.004817;0.004685;0.005050;0.004689;0.004857;0.004667;0.004669;0.004676;0.004860;0.004851;0.004899;0.004894;0.004848;0.004856;0.004680;0.004894;0.004841;0.004820;0.004867;0.004902;0.004874;0.004878;0.004844;0.005010;0.004886;0.004884;0.004876;0.005027;0.004824;0.004888;0.004896;0.004849;0.004675;0.004933;0.004842;0.004838;0.004436;0.004673;0.004838;0.005013;0.004834;0.004882;0.004818;0.004889;0.004841;0.004821;0.004433;0.004426;0.004820;0.004446;0.005019;0.004856;0.004886;0.004667;0.004834;0.004888;0.004900;0.004890;0.004432;0.004807;0.005021;0.004886;0.004446;0.004868;0.004869;0.004832;0.005038;0.004431;0.004425;0.004834;0.004894;0.004825;0.005340;0.004669;0.004434;0.004836;0.004867;0.004808;0.005025;0.004807;0.004445;0.004840;0.004832;0.004826;0.004871;0.005057;0.004841;0.004678;0.004842;0.004700;0.004437;0.005027;0.004837;0.004684;0.004850;0.004871;0.004815;0.004875;0.004887;0.004824;0.004832;0.004678;0.004833;0.004827;0.004449;0.004829;0.004835;0.004435;0.004878;0.004440;0.004460;0.004447;0.005000;0.004444;0.004886;0.004425;0.004687;0.004896;0.004829;0.004839;0.004830;0.004671;0.004895;0.004428;0.004817;0.004467;0.004845;0.004835;0.004663;0.004884;0.004875;0.004891;0.004843;0.004834;0.004853;0.005022;0.004879;0.004841;0.005010;0.004903;0.004890;0.004825;0.004677;0.005002;0.004842;0.004665;0.004889;dynamic;dynamic,1;1;0
100000;0.000471;0.000471;0.000470;0.000486;0.000486;0.000468;0.000470;0.000473;0.000468;0.000467;0.000475;0.000469;0.000471;0.000488;0.000491;0.000485;0.000475;0.000470;0.000474;0.000473;0.000492;0.000490;0.000492;0.000485;0.000478;0.000473;0.000471;0.000470;0.000464;0.000465;0.000468;0.000477;0.000475;0.000491;0.000482;0.000496;0.000499;0.000483;0.000476;0.000493;0.000940;0.000469;0.000472;0.000470;0.000468;0.000474;0.000485;0.000478;0.000480;0.000483;0.000483;0.000478;0.000481;0.000480;0.000477;0.000484;0.000471;0.005825;0.007232;0.007315;0.005536;0.005623;0.000507;0.000485;0.000488;0.000475;0.000489;0.000509;0.000500;0.000490;0.000495;0.000467;0.000481;0.000468;0.000498;0.000486;0.000469;0.000472;0.000474;0.000493;0.000485;0.000489;0.000485;0.000488;0.000480;0.000482;0.000485;0.000491;0.000476;0.000474;0.000476;0.000496;0.000495;0.000485;0.000488;0.000477;0.000474;0.000474;0.000468;0.000475;0.000468;0.000474;0.000690;0.000474;0.000468;0.000508;0.000477;0.000487;0.000471;0.000462;0.000468;0.000466;0.000470;0.000490;0.000480;0.000493;0.000484;0.000472;0.000472;0.000468;0.000489;0.000468;0.000467;0.000478;0.000468;0.000472;0.000480;0.000485;0.000494;0.000487;0.000494;0.000465;0.000464;0.000468;0.000465;0.000469;0.000464;0.000505;0.000488;0.000491;0.000487;0.000478;0.000502;0.000466;0.000469;0.000477;0.000488;0.000505;0.000469;0.000482;0.000489;0.003134;0.000502;0.000488;0.000476;0.000541;0.000469;0.000481;0.000500;0.000483;0.000495;0.000476;0.000475;0.000478;0.000505;0.000500;0.000501;0.000464;0.000475;0.000475;0.000498;0.000480;0.000485;0.000471;0.000476;0.000485;0.000487;0.000481;0.000490;0.000468;0.000474;0.000472;0.000479;0.000487;0.000485;0.000483;0.000505;0.000482;0.000486;0.000484;0.000484;0.000487;0.000491;0.000484;0.000477;0.000469;0.000469;0.000470;0.000480;0.000495;guided;guided,1;1;0
100000;0.000498;0.000473;0.000474;0.000461;0.000468;0.000460;0.000469;0.000463;0.000468;0.000464;0.000466;0.000480;0.000466;0.000467;0.000472;0.000462;0.000497;0.000481;0.000483;0.000497;0.000519;0.000468;0.000467;0.000466;0.000474;0.000472;0.000472;0.000476;0.000463;0.000465;0.000465;0.000459;0.000466;0.000466;0.000478;0.000477;0.000472;0.000499;0.000482;0.000476;0.000475;0.000481;0.000476;0.000483;0.000477;0.000476;0.000480;0.000478;0.000476;0.000482;0.000479;0.000478;0.000472;0.000472;0.000473;0.000483;0.005540;0.000481;0.000481;0.000485;0.000480;0.000484;0.000479;0.000484;0.000480;0.000478;0.000483;0.000485;0.000478;0.000491;0.000479;0.000470;0.000469;0.000470;0.000473;0.000471;0.000470;0.000466;0.000475;0.000468;0.000474;0.000469;0.000466;0.000476;0.000470;0.000463;0.000469;0.000468;0.000465;0.000469;0.000470;0.000467;0.000620;0.000465;0.000473;0.000486;0.000478;0.000507;0.000481;0.000499;0.000489;0.000490;0.000484;0.000483;0.000486;0.000497;0.000491;0.000520;0.000486;0.000501;0.000475;0.000479;0.000463;0.000462;0.000462;0.000472;0.000467;0.000464;0.000465;0.000472;0.000468;0.000469;0.000466;0.000466;0.000467;0.000465;0.000463;0.000467;0.000479;0.000482;0.000477;0.000479;0.000472;0.000497;0.000484;0.000493;0.000486;0.000489;0.000480;0.000491;0.000488;0.000483;0.000492;0.000487;0.000493;0.000491;0.000495;0.000477;0.000495;0.000525;0.000482;0.000485;0.000479;0.000478;0.000484;0.000478;0.000492;0.000484;0.000484;0.000480;0.000491;0.000482;0.000477;0.000470;0.000470;0.000468;0.000468;0.000471;0.000469;0.000468;0.000474;0.000475;0.000472;0.000466;0.000473;0.000471;0.000472;0.000470;0.000472;0.000479;0.000471;0.000481;0.000468;0.000463;0.000489;0.000488;0.000479;0.000496;0.000486;0.000508;0.000481;0.000494;0.000483;0.000495;0.000480;0.000521;0.000481;0.000470;0.000505;0.000471;static;static,12500;12500;8
100000;0.000474;0.000468;0.000485;0.000494;0.000473;0.000474;0.000470;0.000507;0.000487;0.000496;0.000490;0.000486;0.000498;0.000497;0.000485;0.000492;0.000484;0.000495;0.000487;0.000499;0.000488;0.000504;0.000500;0.000493;0.000484;0.000487;0.000484;0.000504;0.000478;0.000496;0.000496;0.000476;0.000480;0.000473;0.000494;0.000486;0.000491;0.000487;0.000486;0.000483;0.000485;0.000489;0.000500;0.000485;0.000492;0.000488;0.000492;0.000487;0.000495;0.000486;0.000465;0.000467;0.000474;0.000494;0.000507;0.000483;0.000467;0.000479;0.000470;0.000468;0.000471;0.000477;0.000467;0.000474;0.000480;0.000463;0.000471;0.000533;0.000487;0.000492;0.000472;0.000472;0.000478;0.000476;0.000489;0.000475;0.000481;0.000487;0.000509;0.000485;0.000484;0.000497;0.000483;0.000496;0.000483;0.000481;0.000487;0.000485;0.000492;0.000495;0.000492;0.000476;0.000468;0.000468;0.000474;0.000467;0.000475;0.000469;0.000468;0.000513;0.000479;0.000472;0.000471;0.000469;0.000472;0.000482;0.000466;0.000478;0.000470;0.000473;0.000465;0.000474;0.000481;0.000473;0.000466;0.000474;0.000475;0.000486;0.000497;0.000483;0.000502;0.000483;0.000503;0.000480;0.000481;0.000472;0.000471;0.000469;0.000471;0.000469;0.000477;0.000494;0.000482;0.000507;0.000492;0.000498;0.000488;0.000944;0.000485;0.000475;0.000475;0.000469;0.000476;0.000479;0.000473;0.000471;0.000474;0.000474;0.000467;0.000477;0.000467;0.000476;0.000469;0.000488;0.000828;0.000481;0.000485;0.000470;0.000485;0.000485;0.000486;0.000471;0.000479;0.000481;0.000475;0.000467;0.000476;0.000472;0.000487;0.000469;0.000475;0.000482;0.000471;0.000490;0.000482;0.000484;0.000488;0.000495;0.000470;0.002661;0.000473;0.000474;0.000490;0.000499;0.000486;0.000495;0.000490;0.000485;0.000498;0.000481;0.000490;0.000491;0.000484;0.000491;0.000484;0.000471;0.000473;0.000470;0.000481;0.000473;static;static,6250;6250;16
100000;0.000489;0.000477;0.000483;0.000478;0.000505;0.000481;0.000485;0.000481;0.000490;0.000485;0.000486;0.000480;0.000495;0.000478;0.000487;0.000484;0.000474;0.000466;0.000470;0.000468;0.000477;0.000470;0.000465;0.000489;0.000481;0.000506;0.000482;0.000505;0.000484;0.000494;0.000490;0.000496;0.000482;0.000475;0.000464;0.000471;0.000491;0.000492;0.000488;0.000495;0.000481;0.000487;0.000498;0.000497;0.000488;0.000494;0.000484;0.000509;0.000494;0.000492;0.000483;0.000494;0.000484;0.000487;0.000477;0.000490;0.000501;0.000495;0.000482;0.000491;0.000486;0.000495;0.000638;0.000480;0.000469;0.000478;0.000480;0.000489;0.000474;0.000480;0.000475;0.000496;0.000475;0.000490;0.000473;0.000472;0.000473;0.000465;0.000471;0.000466;0.000473;0.000467;0.000471;0.000473;0.000474;0.000468;0.000472;0.000468;0.000470;0.000460;0.000469;0.000467;0.000468;0.000482;0.000475;0.000482;0.000487;0.000489;0.000503;0.000479;0.000486;0.000481;0.000486;0.000490;0.000501;0.000479;0.000484;0.000484;0.000492;0.000479;0.000472;0.000467;0.000464;0.000463;0.000472;0.000470;0.000471;0.000469;0.000472;0.000472;0.000468;0.000505;0.000490;0.000498;0.000496;0.000508;0.000489;0.000503;0.000483;0.000494;0.000497;0.000481;0.000480;0.000491;0.000489;0.000485;0.000468;0.000460;0.000478;0.000487;0.000485;0.000486;0.000490;0.000494;0.000534;0.000491;0.000486;0.000507;0.000486;0.000489;0.000480;0.000466;0.000470;0.000498;0.000481;0.000491;0.000480;0.000468;0.000483;0.000484;0.000495;0.000466;0.000484;0.000493;0.000476;0.000490;0.000494;0.000487;0.000497;0.000466;0.000476;0.000476;0.000476;0.000468;0.000489;0.000480;0.005007;0.000484;0.000514;0.001456;0.000744;0.000494;0.000469;0.000488;0.000479;0.000473;0.000484;0.000529;0.000507;0.000502;0.000470;0.000480;0.000512;0.000494;0.000487;0.000499;0.000468;0.000467;0.000474;0.000485;dynamic;dynamic,12500;12500;8
100000;0.000484;0.000488;0.000494;0.000484;0.000494;0.000491;0.000520;0.000485;0.000492;0.000505;0.000491;0.000472;0.000475;0.000468;0.000476;0.000471;0.000476;0.000489;0.000502;0.000489;0.000475;0.000473;0.000471;0.000526;0.000477;0.000484;0.000475;0.000477;0.000474;0.000476;0.000472;0.000483;0.000472;0.000472;0.000474;0.000480;0.000473;0.000475;0.000538;0.000472;0.000473;0.000476;0.000482;0.000493;0.000491;0.000489;0.000487;0.000482;0.000493;0.000482;0.000938;0.000483;0.000478;0.000530;0.000472;0.000467;0.000471;0.000471;0.000481;0.000485;0.000469;0.000470;0.000471;0.000529;0.000500;0.000503;0.000492;0.000469;0.000484;0.000477;0.000478;0.000478;0.000473;0.000474;0.000479;0.000474;0.000473;0.000493;0.000508;0.000499;0.000485;0.000496;0.000490;0.000487;0.000493;0.000490;0.000491;0.000473;0.000471;0.000473;0.000472;0.000472;0.000663;0.000473;0.000468;0.000478;0.000473;0.000474;0.000474;0.000472;0.000470;0.000470;0.000476;0.000476;0.000485;0.000523;0.000486;0.000482;0.000508;0.000490;0.000488;0.000486;0.000486;0.000470;0.000475;0.000489;0.000474;0.000469;0.000470;0.000470;0.000480;0.000482;0.000474;0.000483;0.000476;0.000477;0.000487;0.000471;0.000500;0.000487;0.000489;0.000469;0.000475;0.000486;0.000472;0.000675;0.000470;0.000470;0.000475;0.000474;0.000473;0.000528;0.000476;0.000485;0.000506;0.000487;0.000485;0.000474;0.000473;0.000877;0.000487;0.000487;0.000472;0.000491;0.000473;0.000474;0.000491;0.000485;0.000488;0.000526;0.000496;0.000494;0.000469;0.000473;0.000476;0.000479;0.000475;0.000470;0.000490;0.000495;0.000483;0.000493;0.000502;0.000487;0.000494;0.000487;0.000501;0.000483;0.000480;0.000504;0.000547;0.000478;0.000474;0.000477;0.000479;0.000480;0.000478;0.000493;0.000488;0.000487;0.000487;0.000483;0.000491;0.000489;0.000482;0.000471;0.000538;0.000469;0.000482;0.000483;dynamic;dynamic,6250;6250;16
100000;0.000483;0.000493;0.000486;0.000495;0.000495;0.000504;0.000488;0.000500;0.000508;0.000520;0.000504;0.000511;0.000506;0.000507;0.000503;0.000510;0.000498;0.000497;0.000487;0.000484;0.000490;0.000484;0.000486;0.000508;0.000497;0.000498;0.000522;0.000506;0.000487;0.000486;0.000488;0.000495;0.000491;0.000496;0.000511;0.000500;0.000492;0.000500;0.000516;0.000511;0.000485;0.000486;0.000965;0.000505;0.000500;0.000498;0.000504;0.000499;0.000505;0.000507;0.000503;0.000501;0.000496;0.000499;0.000498;0.000512;0.000499;0.000498;0.000499;0.000497;0.000503;0.000498;0.000503;0.000510;0.000497;0.000502;0.000487;0.000487;0.000485;0.000487;0.000493;0.000497;0.000483;0.000495;0.000488;0.000493;0.000509;0.000502;0.000515;0.000496;0.000495;0.000501;0.000498;0.000500;0.000502;0.000487;0.000501;0.000497;0.000507;0.000517;0.000516;0.000496;0.000485;0.000512;0.000503;0.000507;0.000494;0.000505;0.000492;0.000493;0.000493;0.000495;0.000498;0.000496;0.000498;0.000483;0.000498;0.000483;0.000499;0.000494;0.000496;0.000490;0.000493;0.000485;0.000484;0.000495;0.000482;0.000485;0.000493;0.000487;0.000493;0.000497;0.000504;0.000509;0.000504;0.000512;0.000504;0.000510;0.000507;0.000503;0.000502;0.000510;0.000516;0.000495;0.000498;0.000503;0.000512;0.000509;0.000501;0.000516;0.000513;0.000508;0.000503;0.000512;0.000509;0.000505;0.000516;0.000510;0.000511;0.000507;0.000500;0.000499;0.000497;0.000498;0.000506;0.000489;0.000507;0.000503;0.000499;0.000500;0.000508;0.000510;0.000498;0.000508;0.000508;0.000497;0.000505;0.000498;0.000504;0.000502;0.000509;0.000503;0.000501;0.000499;0.000505;0.000505;0.000513;0.000501;0.000504;0.000500;0.000503;0.000496;0.000504;0.000508;0.000509;0.000494;0.000511;0.000512;0.000508;0.000496;0.000511;0.000499;0.000494;0.000497;0.000501;0.000499;0.000516;0.000493;0.000499;0.000486;guided;guided,12500;12500;8
